"";"name";"x"
"11";"Anaheim Marriott Suites";13
"26";"Best Western of Long Beach";13
"80";"Doubletree By Hilton West Palm Beach Airport";12
"81";"Drury Inn and Suites Columbus Convention Center";11
"263";"Wine Valley Lodge";10
"60";"Courtyard By Marriott Downtown Boise";9
"108";"Hampton Inn & Suites Fort Worth-west-i-30";8
"119";"Hampton Inn Tucson-airport";8
"158";"Hyatt House Colorado Springs";8
"25";"Best Western Knoxville Suites";7
"52";"Comfort Suites Fort Pierce";7
"248";"The Houstonian Hotel";7
"12";"Anglers Inn";6
"42";"Comfort Inn";6
"92";"Extended Stay America - Rockford - I-90";6
"136";"Holiday Inn Express San Clemente";6
"251";"The Savoy Hotel";6
"3";"Ambassadors Inn and Suites";5
"37";"Chelsea Inn";5
"71";"Days Inn Lanham Washington Dc";5
"96";"Fairfield Inn By Marriott Binghamton";5
"109";"Hampton Inn & Suites-downtown-tutwiler";5
"130";"Holiday Inn Express and Suites Gahanna/columbus Airport E";5
"135";"Holiday Inn Express Hotel and Suites Va Beach Oceanfront";5
"137";"Holiday Inn Fond Du Lac";5
"152";"Hotel Russo Palace";5
"175";"La Quinta Inn Auburn Worcester";5
"189";"Mountain Lodge At Telluride - A Noble House Resort";5
"213";"Red Roof Inn St Louis - Troy";5
"215";"Residence Inn By Marriott Fort Lauderdale Weston";5
"222";"Simpson House Inn";5
"223";"Sleep Inn At Harbour View";5
"237";"Super 8 Crete Ne";5
"35";"Casa Del Mar Inn Bandb";4
"47";"Comfort Inn Deland - Near University";4
"51";"Comfort Suites";4
"65";"Days Inn Bangor Airport";4
"79";"Dockers Inn";4
"97";"Fairfield Inn Saginaw";4
"104";"Gran Melia Victoria";4
"110";"Hampton Inn Abilene";4
"111";"Hampton Inn and Suites Annapolis";4
"133";"Holiday Inn Express Hotel and Suites Meadowlands Area";4
"149";"Hotel Relais De Margaux Golf and Spa";4
"180";"Marriott's Mountainside At Park City";4
"182";"Melia Paris Champs-elys��es";4
"186";"Monarch Inn";4
"187";"Monterey Beach Dunes Inn";4
"192";"Palm Suites";4
"194";"Plaza Hotel and Casino - Las Vegas";4
"201";"Quality Inn and Suites Irvine Spectrum";4
"246";"Super 8 Schenect/albany Area";4
"259";"Villa Carlotta";4
"264";"Wingate By Wyndham Pueblo";4
"13";"Arion";3
"22";"Best Western Holiday Hills";3
"45";"Comfort Inn and Suites Bend";3
"61";"Courtyard By Marriott Rockaway Mount Arlington";3
"67";"Days Inn Branson / Near The Strip";3
"88";"Extended Stay America - Chicago - Westmont - Oak Brook";3
"98";"Fh Hotel Villa Fiesole";3
"100";"Fiesta Inn Centro Historico";3
"134";"Holiday Inn Express Hotel and Suites Raleigh-wakefield";3
"144";"Hotel Eug��ne En Ville";3
"155";"Howard Johnson Inn Columbia";3
