"";"address";"city";"country";"name";"province";"reviews.date";"reviews.text";"reviews.title";"reviews.username";"cleaned";"document";"positive";"negative";"tflabel";"tf_idf_positive";"tf_idf_negative";"label_tf_idf";"comparison";"deg_of_sentiment";"rating"
"23042";"225 Route 28";"West Yarmouth";"US";"Bayside Resort Hotel";"Yarmouth";2011-05-12;"I brought my wife and two young children for an Easter weekend getaway. I was not aware that a block of rooms nearby were taken by a group that wanted to get drunk and party all night. We tried to ignore the noise but after midnight, my wife asked the group to keep the noise down. They got louder. After two more tries, we contacted the front desk. The night manager stopped by for about a minute asking the group to quiet down. As soon as he left, the drunken mob was angry at us and star...view moreted slamming into our door. When my wife opened the door to complain, they started to push her around. As soon as I stepped out of the door to help my wife, I was beaten by this drunken mob as my children in the room were terrified. My eye glasses were punched into my face causing me to bleed profusely. I was beaten and kicked as I lay on the hallway floor. My wife also has bruises all over her body. A couple across the hall called the police, but the damage was already done. When the police arrived, the attackers scattered. Some were in rooms on our floor while others were not even guests of the hotel. There are no cameras, no security and a night manager who would rather not get involved. The management told me that there was nothing that they can do because they have no way of knowing who was at fault. Unbelievable. My face is cut up, my wife is bruised and my children are traumatized. Good place if you want to party all night long. Bad place to bring a family. Bottom line the Bayside Resort Hotel was the worst hotel experience of my life.view less";"Worst hotel experience of my life";"dan135";" bring wife two young child easter weekend getaway aware block room nearby take group want get drink party night try ignore noise midnight wife ask group keep noise get loud two much try contact front desk night manager stop minute ask group quiet soon leave drunken mob angry us star view moreted slam door wife open door complain start push around soon step door help wife beat drunken mob child room terrify eye glass punch face cause bleed profusely beat kick lie hallway floor wife also bruise body couple across hall call police damage already police arrive attacker scatter room floor even guest hotel camera security night manager rather get involve management tell nothing can way know fault unbelievable face cut wife bruise child traumatize good place want party night long bad place bring family bottom line bayside resort hotel bad hotel experience life view little bad hotel experience life";"text881";4;12;"negative";0,19980504405314;5,65147888504819;"negative";"same";-5,45167384099505;"1"
"28789";"2607 Atlantic Ave";"Virginia Beach";"US";"Holiday Inn Express Hotel and Suites Va Beach Oceanfront";"VA";2016-06-26;"The hotel is right on the beach with good ocean view. The combined parking facilities (total 3) were good enough and never had problem finding one spot for my car. The free breakfast was good with decent choice of food. When we entered we were happy with the room cleanliness. Entered the toilet and we were greeted with the stink emanating from somewhere. Had to keep running the exhaust fan 24hrs to get rid of smell, good thing was, atleast it worked. For the mattresses, one queen mattress was good enough to hold 2 adults without sagging. Other mattress was terrible seems like the coil was damaged. As soon as I sat on the mattress it depressed 3-4 inches. We avoided to use that mattress to avert back pain. We let our 8 yr old sleep in the middle of the mattress to avoid any discomfort. Overall for the price of the room I was expecting atleast basic amenities to be in good condition.";"Friendly,helping hotel staff, that's all about it";"Thomas";" hotel right beach good ocean view combine park facility total good enough never problem find one spot car free breakfast good decent choice food enter happy room cleanliness enter toilet greet stink emanate somewhere keep run exhaust fan hrs get rid smell good thing atleast work mattress one queen mattress good enough hold adult without sag mattress terrible seem like coil damage soon sit mattress depress inch avoid use mattress avert back pain let yr old sleep middle mattress avoid discomfort overall price room expect atleast basic amenity good condition friendly help hotel staff ";"text1098";10;10;"neutral";0,499512610132851;4,70956573754016;"negative";"different";-4,21005312740731;"2"
"28523";"1745 S E Marshall St";"Boone";"US";"Baymont Inn and Suites Boone";"IA";2015-01-02;"This was a spontaneous overnight stop due to anticipated bad weather. I booked online very late the night before and was shocked to get such a great deal. As it turns out, there was an error in the price listing. The hotel honored the rate and the customer service was outstanding. I wasn't able to take advantage of most of the amenities, so I can't speak to the condition of the pool/whirlpool or continental breakfast. The room was very clean and had everything I needed for a comfortable stay. (There's a 24-hour Walmart located next door so I was able to pick up any overnight items I needed there.) The small fridge in the room made a loud noise, but I was able to quiet it by sliding a thick piece of cardboard under one of the corners. My only criticism is that the mattress was much too firm for MY personal preference. (I have chronic lower back pain and own a Sleep Number bed, which I keep between 35 and 45 on a scale of 1-100, with 100 being maximum firmness.) I found it extremely difficult to sleep comfortably, as my hip and back pain was already aggravated due to a long drive.";"Great Stop Halfway Btwn Kansas City & Minneapolis!";"Robin";" spontaneous overnight stop due anticipate bad weather book online late night shock get great deal turn error price list hotel honor rate customer service outstanding able take advantage much amenity speak condition pool whirlpool continental breakfast room clean everything need comfortable stay hour walmart locate next door able pick overnight item need small fridge room make loud noise able quiet slide thick piece cardboard one corner criticism mattress much firm personal preference chronic low back pain sleep numb bed keep scale maximum firmness find extremely difficult sleep comfortably hip back pain already aggravate due long drive great stop halfway btwn kansas city minneapolis";"text1083";6;9;"negative";0,29970756607971;4,23860916378614;"negative";"same";-3,93890159770643;"2"
"28416";"121 Raydo Cir";"Springfield";"US";"Comfort Suites";"OH";2015-07-14;"Hotel itself was acceptable. For a highway interchange hotel it seemed to be on par with what one would reasonably expect. Unfortunately my car window was smashed during the night property was stolen. Mgmt alerted me to the break in and was polite and accommodating when asked for assistance. However I have to say that management seemed almost disturbingly unconcerned. It took 3 attempts to get the police dept to respond. The 1st officer was sympathetic but explained there was nothing they could do. The 2nd officer was very short tempered and said that they simply did not have time to deal with minor crimes. The 3rd officer, who actually did come to the hotel, told me that I should not stay anywhere at that particular interchange due to the very high crime rate and that I should leave the area as soon as possible. I could not drive the car with my young son because of the amount of glass everywhere in the car. Because of a string of mishaps the repair company was not able to finish the repair until nearly 8:00pm. This made for a long night of driving home after a very stressful day. Hotel staff was adamant that there was not room for me to stay an additional night and did not allow me to stay in our room past 3:00pm. We wound up camping out in the lobby. Hotel mgmt seemed to indicate that a room might be available. To be perfectly honest I could not stay another night at the hotel and expect to get any sleep. It was a scary situation that could have been much worse.";"Unfortunate Stay";"Melissa";" hotel acceptable highway interchange hotel seem par one reasonably expect unfortunately car window smash night property steal mgmt alert break polite accommodate ask assistance however say management seem almost disturbingly unconcerned take attempt get police dept respond st officer sympathetic explain nothing can nd officer short temper say simply time deal minor crime rd officer actually come hotel tell stay anywhere particular interchange due high crime rate leave area soon possible can drive car young son amount glass everywhere car string mishap repair company able finish repair nearly pm make long night drive home stressful day hotel staff adamant room stay additional night allow stay room past pm wind camp lobby hotel mgmt seem indicate room may available perfectly honest can stay another night hotel expect get sleep scary situation can much bad unfortunate stay";"text1081";3;8;"negative";0,149853783039855;3,76765259003213;"negative";"same";-3,61779880699227;"2"
"13588";"19 Sombrero Blvd";"Marathon";"US";"Sombrero Resort and Marina";"Grassy Key";2016-07-28;"We checked in to find out the wifi wasn't working, and then to find a dirty, buggy room waiting for us. Centipedes or similar on room floor, small black bugs in the bathroom, and ants in the kitchen. While the staff was extremely rude, including the manager who just walked off, they did clean the room and spray for us. When we wanted to try the wifi, which we were told had been out a few days and did work around the pool, we were given an incorrect passcode. When we asked for help because all but 3 or 4 of the tv stations were pixelating, the call to maintanence was the lady in room xyz is up here complaining about her tv, instead of the guests in room xyz need their to looked at. We were charged at check in, although told we would be charged at check out. We were told we couldn't get a receipt because the computers were down, and couldn't even be told what we were charged. When I complained, the customer service rep turned his head to the side and spoke in baby talk...I'm so sorry, It's not my fault. Overall, I would avoid this hotel. For the money, there are surrounding hotels that aren't filthy. Had we not insisted it been recleaned and bug sprayed, we would have been expected to sleep in that!";"Avoid this hotel";"B";" check find wifi work find dirty buggy room wait us centipede similar room floor small black bug bathroom ant kitchen staff extremely rude include manager just walk clean room spray us want try wifi tell day work around pool give incorrect passcode ask help tv station pixelating call maintanence lady room xyz complain tv instead guest room xyz need look charge check although tell charge check tell get receipt computer even tell charge complain customer service rep turn head side speak baby talk sorry fault overall avoid hotel money surround hotel filthy insist recleaned bug spray expect sleep avoid hotel";"text445";0;7;"negative";0;3,29669601627811;"negative";"same";-3,29669601627811;"2"
"10374";"1 Main St";"Las Vegas";"US";"Plaza Hotel and Casino - Las Vegas";"NV";2016-08-29;"I stay at this Hotel often as part of my local staycation spots. This time I was a little disappointed. Check in was great as always but when I got to my room it was still occupied and dirty! I went back downstairs to advise the front desk clerk and she was questioning me as if it was my fault the room was dirty and still occupied. She keep telling me the room shows her available and clean and wanted me to go back to the room and wait for housekeeping. I was furious, but didn't explode. I simply told her to get their housekeeping staff in order and to do their job correctly, find me another room or cancel my reservations. She gave me another room. I go back upstairs and that room was clean but had no towles, soap or bathroom tissue. By this time, I'm extremely tired and frustrated. I just called housekeeping and had someone bring the items missing in the room. I will be submitting a formal complaint to the company/hotel directly because that is just unacceptable. I like the hotel and want to continue using them but after this my interest has changed.";"Unhappy stay";"shanee";" stay hotel often part local staycation spot time little disappoint check great always get room still occupy dirty go back downstairs advise front desk clerk question fault room dirty still occupy keep tell room show available clean want go back room wait housekeeping furious explode simply tell get housekeeping staff order job correctly find another room cancel reservation give another room go back upstairs room clean towles soap bathroom tissue time extremely tire frustrate just call housekeeping someone bring item miss room submit formal complaint company hotel directly just unacceptable like hotel want continue use interest change unhappy stay";"text316";3;7;"negative";0,149853783039855;3,29669601627811;"negative";"same";-3,14684223323826;"2"
"8916";"2512 W Lincolnway";"Cheyenne";"US";"Americas Best Value Inn";"WY";2016-07-08;"I don't really like to complain, but our stay here was terrible. When we walked in the lobby, it didn't look too bad, and we could tell it had been recently updated a bit. When we got in the room, and were setting down our things, I noticed a hair on the bed. I don't really tolerate hair in a clean hotel room, but I threw it away and let it go. When I was helping my daughter wash her hands soon after, the soap dispenser on the wall fell, and then I could tell the bathroom counter and sink were not cleaned, and there was more hair in the sink. The kids were excited to swim, so we ignored this mess and went to the pool. The pool was fine, but the hot tub was very murky. After swimming, we went back to the room and when I pulled the covers down in the bed, there were 2 more hairs. It was late, and we were tired, so I cleaned them up. In the morning, when I opened the shower curtain to take a shower, there was hair hanging from the shower faucet, and then from the towels! I couldn't handle anymore grossness, and we packed up and left. No one in my family got ready that morning, and there was no one one at the front desk to talk to. We skipped breakfast, because we were leary of how anything was really cleaned. I am extremely disappointed in this stay, as hair everywhere is not OK, not excusable. We will not be staying here, or probably any America's Best's, again.";"Road trip stopover";"Jared";" really like complain stay terrible walk lobby look bad can tell recently update bite get room set thing notice hair bed really tolerate hair clean hotel room throw away let go help daughter wash hand soon soap dispenser wall fall can tell bathroom counter sink clean much hair sink kid excite swim ignore mess go pool pool fine hot tub murky swim go back room pull cover bed much hair late tire clean morning open shower curtain take shower hair hang shower faucet towel handle anymore grossness pack leave one family get ready morning one one front desk talk skip breakfast leary anything really clean extremely disappoint stay hair everywhere okay excusable stay probably americas bests road trip stopover";"text261";5;7;"negative";0,249756305066425;3,29669601627811;"negative";"same";-3,04693971121169;"2"
"26189";"50 Capital Ave S W";"Battle Creek";"US";"Mccamly Plaza Hotel";"MI";2015-10-22;"When we checked in, I had booked a room with 2 queen beds. We got one king bed. There were 4 of us. They did fix the problem, however because of the big tournament going on they had a number of rooms blocked, not my problem as I still should have gotten the room I booked and paid for. The pool area was terrible. The worst pool area I have ever been in in a hotel. They only had buffet food in the restaurant due to the tournament which was also terrible especially for the price. It was nice to be right there where the tournament was so we had no travel time to and from. I think the best thing about the whole experience was the valet staff. They were very proficient, kind, and polite. The manager however, even fixing our room issue, had the vibe of being very irritated at having to fix our room issues. The girls at the counter were nice, the ice machines on all floors and in the restaurant ran out of ice and they were quick to make sure we had some. We probably wont be staying there again during a big tournament.";"Hotel stay for GFC wrestling tournament";"Sally";" check book room queen bed get one king bed us fix problem however big tournament go numb room block problem still get room book pay pool area terrible bad pool area ever hotel buffet food restaurant due tournament also terrible especially price nice right tournament travel time think good thing whole experience valet staff proficient kind polite manager however even fix room issue vibe irritate fix room issue girl counter nice ice machine floor restaurant run ice quick make sure probably wont stay big tournament hotel stay gfc wrestle tournament";"text979";5;7;"negative";0,249756305066425;3,29669601627811;"negative";"same";-3,04693971121169;"2"
"35687";"100 Paterson Plank Rd";"Carlstadt";"US";"Holiday Inn Express Hotel and Suites Meadowlands Area";"NJ";2016-08-14;"Hotel is very clean,almost spotless. Swimming pool was too small,very disappointing since it was the only reason we booked a hotel for a night.The pool area was hot,suffocating,like sitting inside a sauna. Staff are not that friendly. It was ok in the beginning but when the A/c in our room started acting up at 2 am that's when my nightmare began. I called the front desk to complain about the A/C and she was nice enough to let us use the room across the hallway,went in there and it was freezing,couldn't adjust the temprature because the control knobs were missing. Tried to go back to sleep after a few hours a staff came in using his own key( he probably wasn't informed there were guests moved into that room),quite scary but he got out right away when he saw there were people in the room. After about an hour cleaning lady barged in-didn't know room was occupied. I planned that one night get away to cool down and relax but unfortunately it didn't happen in this hotel. Very disappointing!";"Disappointing������";"Alex Gulino";" hotel clean almost spotless swim pool small disappoint since reason book hotel night pool area hot suffocate like sit inside sauna staff friendly okay begin c room start act nightmare begin call front desk complain c nice enough let us use room across hallway go freeze adjust temprature control knob miss try go back sleep hour staff come use key probably inform guest move room quite scary get right away see people room hour clean lady barge know room occupy plan one night get away cool relax unfortunately happen hotel disappoint disappointing������";"text1396";7;7;"neutral";0,349658827092995;3,29669601627811;"negative";"different";-2,94703718918512;"3"
"13525";"19 Sombrero Blvd";"Marathon";"US";"Sombrero Resort and Marina";"Grassy Key";2015-07-29;"The reservation was wrong had to move rooms. Broken air conditioner, broken appliances, shower rack felland had to be held by my husband. Had to move rooms again (room number 3). The front desk supervisor was so annoyed by me calling him he started yelling at me because I was frustrated. Website states fishing on site in amenities that is... More";"Horrible place, worse staff";"andrearich123";" reservation wrong move room break air conditioner break appliance shower rack felland hold husband move room room numb front desk supervisor annoy call start yell frustrate website state fish site amenity much horrible place bad staff";"text442";0;6;"negative";0;2,8257394425241;"negative";"same";-2,8257394425241;"3"
